name,url,rank,net cost,aid,in-state tuition,out-state tuition,housing,meals,books,prices-by-income,median earnings,location,student-faculty ratio,majors,acceptance rate,application deadline,graduation rate,employed 2 years post graduation,full-time undergraduates,public/private
University of Michigan - Ann Arbor,https://www.niche.com/colleges/university-of-michigan-ann-arbor/,23,19318,15121,16736,55334,-1,-1,1092,"{'<$30k': 5713, '$30-48k': 7376, '$49-75k': 11621, '$76-110k': 17865, '$110k+': 27711}",63400,"ANN ARBOR, MI",4:1,"{'Arts': '126', 'Ceramics': '0', 'Dance': '21', 'Drama and Theatre Production': '32', 'Drawing': '0', 'Film and Video Studies': '86', 'Fine Arts': '0', 'Graphic Design': '0', 'Illustration': '0', 'Industrial and Product Design': '0', 'Metal and Jewelry Arts': '0', 'Music': '2', 'Musical Instruments': '0', 'Music Performance': '60', 'Music Technology': '1', 'Music Theory and Composition': '6', 'Performing Arts': '35', 'Printmaking': '0', 'Sculpture': '0', 'Theatre Design': '7', 'Business': '598', 'Organizational Behavior Studies': '50', 'Sport and Fitness Management': '110', 'Elementary Education': '39', 'High School Education': '31', 'Music Teacher Education': '14', 'Physical Education Teaching and Coaching': '25', 'Athletic Training': '13', 'Dental Hygiene': '38', 'Healthcare Management': '0', 'Kinesiology and Exercise Science': '128', 'Nursing': '174', 'Pharmacy and Pharmaceutical Sciences': '37', 'Public Health': '101', 'African American Studies': '5', 'Anthropology': '49', 'Archaeology': '3', 'Art History': '27', 'Asian Studies': '19', 'Cognitive Science': '114', 'Communications': '255', 'Creative Writing': '29', 'Economics': '618', 'English': '98', 'European and Russian Studies': '1', 'Foreign Languages and Literatures': '14', 'French Language and Literature': '19', 'German Language and Literature': '34', 'Global Studies': '3', 'Hispanic American Studies': '1', 'History': '121', 'International Studies': '152', 'Italian Language and Literature': '3', 'Latin American Studies': '1', 'Latin and Ancient Greek Studies': '4', 'Liberal Arts and Humanities': '67', 'Linguistics, Interpretation, and Translation': '30', 'Literature': '3', 'Minority and Ethnic Studies': '30', 'Music History and Literature': '14', 'North American Studies': '13', 'Philosophy': '80', 'Physiological Psychology': '356', 'Political Science and Government': '239', 'Public Policy Analysis': '81', 'Religious Studies': '7', 'Research and Experimental Psychology': '358', 'Russian and Eastern European Languages and Literature': '7', 'Social Science Research Methods': '11', 'Sociology': '132', 'Spanish Language and Literature': '88', ""Women's Studies"": '25', 'Aerospace Engineering': '164', 'Architecture': '52', 'Astronomy and Astrophysics': '17', 'Atmospheric Sciences and Meteorology': '16', 'Biochemistry and Molecular Biology': '262', 'Bioengineering and Biomedical Engineering': '103', 'Biology': '277', 'Botany and Plant Physiology': '0', 'Cellular Biology': '11', 'Chemical Engineering': '73', 'Chemistry': '25', 'Civil Engineering': '42', 'Computer and Information Sciences': '8', 'Computer Hardware Engineering': '116', 'Data Science': '163', 'Ecology and Evolutionary Biology': '43', 'Electrical Engineering': '119', 'Engineering': '25', 'Engineering Physics': '14', 'Engineering Science': '0', 'Environmental Engineering': '30', 'Environmental Science': '123', 'Geology and Earth Science': '64', 'Human Computer Interaction': '0', 'Industrial Engineering': '170', 'Information Science': '1228', 'Materials Engineering': '42', 'Mathematics': '212', 'Mechanical Engineering': '275', 'Microbiology': '32', 'Natural Resources Conservation and Management': '0', 'Network, Database, and System Administration': '0', 'Neuroscience and Neurobiology': '226', 'Nuclear Engineering': '19', 'Physics': '63', 'Robotics and Automation Engineering': '0', 'Statistics': '106', 'Electrical Engineering Technician': '4'}",18,February 1,93,94,31319,Public College
Claremont McKenna College,https://www.niche.com/colleges/claremont-mckenna-college/,24,28701,50020,60715,60715,10059,8653,1200,"{'<$30k': 8000, '$30-48k': 8341, '$49-75k': 19161, '$76-110k': 19384, '$110k+': 52737}",72900,"CLAREMONT, CA",7:1,"{'Dance': '0', 'Drama and Theatre Production': '0', 'Film and Video Studies': '7', 'Studio Arts': '1', 'Accounting': '5', 'Organizational Behavior Studies': '1', 'African American Studies': '1', 'Anthropology': '0', 'Asian Studies': '1', 'Cognitive Science': '0', 'Communications': '6', 'Economics': '129', 'English': '7', 'European and Russian Studies': '1', 'Foreign Languages and Literatures': '1', 'French Language and Literature': '0', 'Global Studies': '0', 'Hispanic American Studies': '1', 'History': '12', 'International Relations': '30', 'International Studies': '0', 'Latin American Studies': '1', 'Latin and Ancient Greek Studies': '1', 'Legal Studies': '0', 'Liberal Arts and Humanities': '35', 'Music History and Literature': '0', 'North American Studies': '2', 'Philosophy': '21', 'Political Science and Government': '46', 'Psychology': '0', 'Public Policy Analysis': '11', 'Religious Studies': '2', 'Research and Experimental Psychology': '29', 'Sociology': '1', 'Spanish Language and Literature': '5', 'Systems Science and Theory': '16', 'Biochemistry and Molecular Biology': '4', 'Biology': '15', 'Chemistry': '3', 'Computer Science': '13', 'Engineering': '7', 'Environmental Science': '8', 'Geology and Earth Science': '0', 'Mathematics': '21', 'Neuroscience and Neurobiology': '11', 'Physics': '6'}",10,January 10,91,92,1380,Private
University of Chicago,https://www.niche.com/colleges/university-of-chicago/,25,36991,48422,64260,64260,-1,-1,1800,"{'<$30k': 958, '$30-48k': 1595, '$49-75k': 3596, '$76-110k': 13531, '$110k+': 47835}",68100,"CHICAGO, IL",3:1,"{'Drama and Theatre Production': '11', 'Film and Video Studies': '21', 'Performing Arts': '16', 'African Studies': '11', 'Anthropology': '33', 'Art History': '13', 'Counseling Psychology': '35', 'Creative Writing': '37', 'Digital Communication and Media/Multimedia': '2', 'East Asian Languages and Literatures': '11', 'Economics': '634', 'English': '54', 'Foreign Languages and Literatures': '31', 'Geography': '10', 'German Language and Literature': '4', 'History': '79', 'International Relations': '13', 'Latin American Studies': '8', 'Latin and Ancient Greek Studies': '18', 'Liberal Arts and Humanities': '21', 'Linguistics, Interpretation, and Translation': '21', 'Literature': '7', 'Minority and Ethnic Studies': '11', 'Music History and Literature': '8', 'Philosophy': '77', 'Political Science and Government': '109', 'Public Policy Analysis': '114', 'Religious Studies': '1', 'Research and Experimental Psychology': '105', 'Russian and Eastern European Languages and Literature': '7', 'Social Sciences': '27', 'Social Work and Youth Services': '0', 'Sociology': '50', 'Systems Science and Theory': '2', 'Theological and Ministerial Studies': '11', 'Astronomy and Astrophysics': '24', 'Biology': '136', 'Chemical Engineering': '37', 'Chemistry': '62', 'Computer Science': '126', 'Environmental Science': '34', 'Geology and Earth Science': '9', 'Mathematics': '169', 'Neuroscience and Neurobiology': '75', 'Physics': '66', 'Pre-Medicine Studies': '0', 'Statistics': '75'}",5,January 6,96,92,7563,Private
University of Notre Dame,https://www.niche.com/colleges/university-of-notre-dame/,26,28474,49859,60301,60301,-1,-1,1250,"{'<$30k': 9201, '$30-48k': 7659, '$49-75k': 14445, '$76-110k': 25532, '$110k+': 48006}",78400,"NOTRE DAME, IN",7:1,"{'Design and Visual Communications': '28', 'Drama and Theatre Production': '68', 'Studio Arts': '5', 'Accounting': '66', 'Business': '37', 'Finance': '260', 'Management Sciences and Information Systems': '147', 'Marketing': '64', 'Science Teacher Education': '0', 'African American Studies': '4', 'Anthropology': '34', 'Arabic Language and Literature': '10', 'Art History': '7', 'Asian Studies': '2', 'Chinese Language and Literature': '11', 'Economics': '245', 'English': '53', 'European and Russian Studies': '0', 'Foreign Languages and Literatures': '3', 'French Language and Literature': '7', 'German Language and Literature': '5', 'Hispanic American Studies': '15', 'History': '57', 'International Studies': '46', 'Italian Language and Literature': '4', 'Japanese Language and Literature': '7', 'Latin and Ancient Greek Studies': '10', 'Liberal Arts and Humanities': '34', 'Music History and Literature': '8', 'Natural Sciences': '57', 'North American Studies': '20', 'Peace Studies and Conflict Resolution': '7', 'Philosophy': '36', 'Political Science and Government': '177', 'Psychology': '97', 'Public Policy Analysis': '3', 'Russian and Eastern European Languages and Literature': '4', 'Sociology': '41', 'Spanish Language and Literature': '44', 'Theological and Ministerial Studies': '51', ""Women's Studies"": '12', 'Aerospace Engineering': '25', 'Architecture': '21', 'Biochemistry and Molecular Biology': '32', 'Biology': '80', 'Chemical Engineering': '78', 'Chemistry': '14', 'Civil Engineering': '44', 'Computer Hardware Engineering': '16', 'Electrical Engineering': '45', 'Environmental Engineering': '16', 'Environmental Science': '27', 'Information Science': '140', 'Mathematics': '166', 'Mechanical Engineering': '102', 'Neuroscience and Neurobiology': '116', 'Physics': '33', 'Pre-Medicine Studies': '83', 'Computer Systems Technician': '5'}",13,January 3,96,95,8953,Private
University of Virginia,https://www.niche.com/colleges/university-of-virginia/,27,19469,26818,20342,55914,7790,5810,1400,"{'<$30k': 11273, '$30-48k': 12720, '$49-75k': 14884, '$76-110k': 23840, '$110k+': 32829}",61200,"CHARLOTTESVILLE, VA",7:1,"{'Arts': '72', 'Drama and Theatre Production': '14', 'Accounting': '19', 'Business': '1', 'Human Resources': '0', 'Management Sciences and Information Systems': '368', 'Early Childhood Education': '3', 'Elementary Education': '28', 'Special Education and Teaching': '2', 'Healthcare Management': '16', 'Kinesiology and Exercise Science': '95', 'Nursing': '0', 'Speech Language Pathology': '23', 'African American Studies': '30', 'Anthropology': '61', 'Child Development': '58', 'Communications': '6', 'Economics': '465', 'English': '172', 'French Language and Literature': '29', 'German Language and Literature': '2', 'Global Studies': '2', 'History': '139', 'International Relations': '203', 'Italian Language and Literature': '2', 'Latin and Ancient Greek Studies': '6', 'Liberal Arts and Humanities': '1296', 'Literature': '0', 'Music History and Literature': '23', 'Philosophy': '32', 'Political Science and Government': '118', 'Psychology': '251', 'Public Policy Analysis': '87', 'Religious Studies': '40', 'Russian and Eastern European Languages and Literature': '7', 'Sociology': '89', 'Spanish Language and Literature': '84', 'Urban, Community and Regional Planning': '14', 'Criminal Justice and Safety Studies': '416', 'Police and Criminal Science': '7', 'Aerospace Engineering': '47', 'Architecture': '82', 'Astronomy and Astrophysics': '14', 'Bioengineering and Biomedical Engineering': '127', 'Biology': '337', 'Chemical Engineering': '42', 'Chemistry': '103', 'Civil Engineering': '48', 'Computer and Information Systems Security': '2', 'Computer Hardware Engineering': '51', 'Electrical Engineering': '32', 'Engineering': '7', 'Environmental Science': '79', 'Information Science': '230', 'Information Technology': '5', 'Materials Engineering': '2', 'Mathematics': '87', 'Mechanical Engineering': '88', 'Physics': '47', 'Statistics': '5', 'Systems Engineering': '81'}",19,January 5,95,94,16523,Public College
University of Southern California,https://www.niche.com/colleges/university-of-southern-california/,28,36808,45262,64726,64726,10506,6930,1200,"{'<$30k': 12880, '$30-48k': 14852, '$49-75k': 19991, '$76-110k': 26959, '$110k+': 52817}",74000,"LOS ANGELES, CA",7:1,"{'Acting': '38', 'Arts': '31', 'Cinematography and Video Production': '95', 'Dance': '25', 'Design and Visual Communications': '29', 'Drama and Theatre Production': '69', 'Film and Video Studies': '83', 'Game Design and Interactive Media': '26', 'Graphic Design': '35', 'Music': '13', 'Musical Instruments': '22', 'Music Management': '66', 'Music Performance': '26', 'Music Theory and Composition': '1', 'Studio Arts': '14', 'Theatre Design': '8', 'Visual and Performing Arts': '1', 'Voice and Opera': '6', 'Accounting': '160', 'Business': '832', 'International Business': '17', 'Management Sciences and Information Systems': '172', 'Real Estate': '141', 'Education': '0', 'Dental Hygiene': '1', 'Health Service Preparatory Studies': '2', 'Kinesiology and Exercise Science': '0', 'Occupational Therapy': '13', 'Public Health': '39', 'Adult Development, Gerontology, and Aging': '8', 'African American Studies': '2', 'Anthropology': '16', 'Archaeology': '5', 'Art History': '24', 'Asian Studies': '3', 'Behavioral Sciences': '89', 'Broadcast Journalism': '0', 'Cognitive Science': '62', 'Communications': '326', 'Creative Writing': '37', 'East Asian Languages and Literatures': '19', 'Economics': '210', 'English': '27', 'European and Russian Studies': '4', 'French Language and Literature': '17', 'Geography': '18', 'Global Studies': '6', 'Hispanic American Studies': '2', 'History': '82', 'International Relations': '165', 'International Studies': '9', 'Italian Language and Literature': '1', 'Journalism': '92', 'Latin and Ancient Greek Studies': '8', 'Liberal Arts and Humanities': '76', 'Linguistics, Interpretation, and Translation': '12', 'Literature': '6', 'Minority and Ethnic Studies': '6', 'Music History and Literature': '10', 'North American Studies': '1', 'Philosophy': '65', 'Physical Sciences': '0', 'Playwriting and Screenwriting': '20', 'Political Science and Government': '139', 'Psychology': '183', 'Public Policy Analysis': '49', 'Public Relations': '77', 'Religious Studies': '4', 'Russian and Eastern European Languages and Literature': '0', 'Social Science Research Methods': '17', 'Sociology': '56', 'Spanish Language and Literature': '22', 'Urban, Community and Regional Planning': '1', 'Urban Studies and Affairs': '12', 'Aerospace Engineering': '49', 'Architecture': '77', 'Astronomy and Astrophysics': '1', 'Biochemistry and Molecular Biology': '37', 'Bioengineering and Biomedical Engineering': '56', 'Bioinformatics': '17', 'Biology': '333', 'Chemical Engineering': '36', 'Chemistry': '19', 'Civil Engineering': '34', 'Computational and Applied Mathematics': '147', 'Computer and Information Sciences': '18', 'Computer Graphics': '32', 'Computer Hardware Engineering': '45', 'Computer Science': '287', 'Electrical Engineering': '45', 'Environmental Engineering': '14', 'Environmental Science': '65', 'Geology and Earth Science': '6', 'Industrial Engineering': '57', 'Mathematics': '15', 'Mechanical Engineering': '119', 'Neuroscience and Neurobiology': '121', 'Pharmacology and Toxicology': '18', 'Physics': '17', 'Aeronautics and Aviation Technology': '0', 'Engineering Technician': '24'}",12,January 15,92,92,20185,Private
Williams College,https://www.niche.com/colleges/williams-college/,29,20965,57121,64540,64540,7900,7630,1000,"{'<$30k': 4561, '$30-48k': 1191, '$49-75k': 3998, '$76-110k': 12166, '$110k+': 43981}",59000,"WILLIAMSTOWN, MA",6:1,"{'Arts': '37', 'Drama and Theatre Production': '6', 'Anthropology': '4', 'Asian Studies': '1', 'Chinese Language and Literature': '4', 'East Asian Languages and Literatures': '0', 'Economics': '107', 'English': '45', 'French Language and Literature': '8', 'German Language and Literature': '2', 'Global Studies': '5', 'History': '53', 'Japanese Language and Literature': '2', 'Latin and Ancient Greek Studies': '9', 'Liberal Arts and Humanities': '1', 'Literature': '13', 'Music History and Literature': '6', 'North American Studies': '9', 'Philosophy': '13', 'Political Science and Government': '63', 'Psychology': '64', 'Religious Studies': '8', 'Russian and Eastern European Languages and Literature': '3', 'Social Sciences': '15', 'Sociology': '4', 'Spanish Language and Literature': '10', ""Women's Studies"": '7', 'Astronomy and Astrophysics': '6', 'Biology': '47', 'Chemistry': '39', 'Computer Science': '49', 'Environmental Science': '6', 'Geology and Earth Science': '10', 'Mathematics': '53', 'Physics': '16', 'Statistics': '12'}",8,January 6,95,90,2146,Private
Georgia Institute of Technology,https://www.niche.com/colleges/georgia-institute-of-technology/,30,17402,13992,28584,49696,6918,5424,800,"{'<$30k': 8570, '$30-48k': 11178, '$49-75k': 14771, '$76-110k': 18051, '$110k+': 18807}",79100,"ATLANTA, GA",14:1,"{'Industrial and Product Design': '75', 'Business': '359', 'Digital Communication and Media/Multimedia': '30', 'Economics': '32', 'Foreign Languages and Literatures': '37', 'History': '13', 'International Relations': '21', 'International Studies': '6', 'Liberal Arts and Humanities': '47', 'Public Policy Analysis': '27', 'Research and Experimental Psychology': '27', 'Aerospace Engineering': '215', 'Architecture': '41', 'Biochemistry and Molecular Biology': '40', 'Bioengineering and Biomedical Engineering': '278', 'Biology': '120', 'Chemical Engineering': '183', 'Chemistry': '29', 'Civil Engineering': '106', 'Computer Hardware Engineering': '157', 'Computer Software Engineering': '16', 'Electrical Engineering': '158', 'Environmental Engineering': '52', 'Geology and Earth Science': '14', 'Industrial Engineering': '382', 'Information Science': '847', 'Materials Engineering': '75', 'Mathematics': '56', 'Mechanical Engineering': '421', 'Neuroscience and Neurobiology': '69', 'Nuclear Engineering': '15', 'Physics': '67'}",17,January 6,93,95,16207,Public College
Swarthmore College,https://www.niche.com/colleges/swarthmore-college/,31,20715,47703,59328,59328,9104,8922,760,"{'<$30k': 5341, '$30-48k': 8634, '$49-75k': 13009, '$76-110k': 18389, '$110k+': 50474}",56700,"SWARTHMORE, PA",6:1,"{'Arts': '0', 'Cinematography and Video Production': '4', 'Dance': '1', 'Drama and Theatre Production': '3', 'Film and Video Studies': '0', 'Fine Arts': '1', 'Industrial and Product Design': '0', 'Music': '0', 'Performing Arts': '1', 'Studio Arts': '10', 'Bilingual and Multicultural Education': '0', 'Education': '29', 'Public Health': '1', 'African American Studies': '3', 'African Studies': '0', 'Anthropology': '5', 'Archaeology': '2', 'Art History': '5', 'Asian Studies': '1', 'Chinese Language and Literature': '2', 'Cognitive Science': '6', 'Communications': '0', 'Economics': '80', 'English': '19', 'European and Russian Studies': '1', 'French Language and Literature': '3', 'Global Studies': '2', 'History': '23', 'International Relations': '0', 'International Studies': '1', 'Japanese Language and Literature': '1', 'Latin American Studies': '0', 'Latin and Ancient Greek Studies': '5', 'Liberal Arts and Humanities': '0', 'Linguistics, Interpretation, and Translation': '6', 'Literature': '1', 'Minority and Ethnic Studies': '0', 'Music History and Literature': '5', 'Natural Sciences': '0', 'North American Studies': '0', 'Peace Studies and Conflict Resolution': '22', 'Philosophy': '11', 'Physical Sciences': '0', 'Physiological Psychology': '0', 'Political Science and Government': '36', 'Psychology': '0', 'Public Administration': '0', 'Public Policy Analysis': '0', 'Religious Studies': '2', 'Research and Experimental Psychology': '20', 'Russian and Eastern European Languages and Literature': '1', 'Social Psychology': '1', 'Social Science Research Methods': '0', 'Social Sciences': '3', 'Sociology': '10', 'Spanish Language and Literature': '6', 'Urban Studies and Affairs': '0', ""Women's Studies"": '3', 'Astronomy and Astrophysics': '11', 'Biochemistry and Molecular Biology': '9', 'Bioinformatics': '0', 'Biology': '30', 'Chemistry': '8', 'Computational and Applied Mathematics': '0', 'Engineering': '28', 'Environmental Science': '14', 'Geology and Earth Science': '0', 'Information Science': '54', 'Mathematics': '53', 'Neuroscience and Neurobiology': '15', 'Physics': '8', 'Sustainability Studies': '1'}",7,January 4,94,85,1625,Private
Bowdoin College,https://www.niche.com/colleges/bowdoin-college/,32,22776,53534,67198,67198,8050,8722,840,"{'<$30k': 2706, '$30-48k': 5760, '$49-75k': 10068, '$76-110k': 19525, '$110k+': 38863}",65500,"BRUNSWICK, ME",8:1,"{'Fine Arts': '0', 'Performing Arts': '4', 'Studio Arts': '9', 'Visual and Performing Arts': '2', 'Education': '20', 'Mathematics Teacher Education': '0', 'Science Teacher Education': '0', 'African Studies': '7', 'Anthropology': '11', 'Archaeology': '0', 'Art History': '4', 'Asian Studies': '12', 'Economics': '78', 'English': '29', 'European and Russian Studies': '24', 'Foreign Languages and Literatures': '5', 'German Language and Literature': '6', 'History': '29', 'Latin American Studies': '4', 'Latin and Ancient Greek Studies': '3', 'Liberal Arts and Humanities': '0', 'Literature': '0', 'Minority and Ethnic Studies': '3', 'Music History and Literature': '4', 'Philosophy': '3', 'Political Science and Government': '83', 'Religious Studies': '4', 'Research and Experimental Psychology': '20', 'Russian and Eastern European Languages and Literature': '2', 'Sociology': '17', 'Biochemistry and Molecular Biology': '21', 'Biology': '33', 'Chemistry': '9', 'Computational and Applied Mathematics': '2', 'Computer Science': '42', 'Environmental Science': '21', 'Geology and Earth Science': '21', 'Human Computer Interaction': '11', 'Mathematics': '43', 'Neuroscience and Neurobiology': '26', 'Physics': '19'}",9,January 6,94,93,1845,Private
University of Florida,https://www.niche.com/colleges/university-of-florida/,33,11740,10555,6381,28659,6350,4600,810,"{'<$30k': 2033, '$30-48k': 3599, '$49-75k': 8897, '$76-110k': 14440, '$110k+': 15203}",56000,"GAINESVILLE, FL",10:1,"{'Dance': '5', 'Drama and Theatre Production': '1', 'Graphic Design': '27', 'Interior Design': '24', 'Studio Arts': '5', 'Accounting': '140', 'Business': '452', 'Finance': '248', 'Management Sciences and Information Systems': '138', 'Marketing': '218', 'Parks, Recreation and Leisure Studies': '71', 'Sport and Fitness Management': '42', 'Agricultural Teacher Education': '63', 'Art Teacher Education': '3', 'Education': '56', 'Educational Administration': '0', 'Elementary Education': '70', 'Music Teacher Education': '0', 'School Counseling and Guidance Services': '0', 'Special Education and Teaching': '0', 'Athletic Training': '0', 'Dietetics and Clinical Nutrition': '31', 'Exercise Physiology': '251', 'Food Science': '21', 'Foods, Nutrition, and Wellness Studies': '110', 'Health Service Preparatory Studies': '217', 'Nursing': '235', 'Public Health': '250', 'Speech Language Pathology': '66', 'Advertising': '171', 'African American Studies': '15', 'Anthropology': '26', 'Art History': '13', 'Asian Studies': '0', 'Communications': '1', 'East Asian Languages and Literatures': '1', 'Economics': '277', 'English': '150', 'Family and Community Services': '7', 'Foreign Languages and Literatures': '2', 'French Language and Literature': '0', 'Geography': '42', 'German Language and Literature': '0', 'History': '2', 'International Studies': '1', 'Journalism': '145', 'Latin and Ancient Greek Studies': '22', 'Liberal Arts and Humanities': '10', 'Linguistics, Interpretation, and Translation': '23', 'Music History and Literature': '19', 'Philosophy': '0', 'Political Science and Government': '42', 'Psychology': '599', 'Public Relations': '17', 'Radio and Television': '158', 'Religious Studies': '1', 'Russian and Eastern European Languages and Literature': '0', 'School Psychology': '0', 'Sociology': '153', 'Spanish Language and Literature': '10', ""Women's Studies"": '41', 'Criminology': '184', 'Fire Science and Fire Fighting': '41', 'Aerospace Engineering': '123', 'Agricultural and Food Products Processing': '0', 'Agricultural Business': '100', 'Agricultural Engineering': '0', 'Animal Sciences and Husbandry': '146', 'Architecture': '92', 'Astronomy and Astrophysics': '14', 'Bioengineering and Biomedical Engineering': '122', 'Biology': '595', 'Botany and Plant Physiology': '11', 'Chemical Engineering': '106', 'Chemistry': '170', 'Civil Engineering': '128', 'Computer Hardware Engineering': '118', 'Crop and Soil Sciences': '1', 'Electrical Engineering': '121', 'Environmental Engineering': '46', 'Environmental Science': '45', 'Forestry': '5', 'Geology and Earth Science': '1', 'Horticulture': '12', 'Information Science': '338', 'Landscape Architecture': '13', 'Marine Science': '18', 'Materials Engineering': '39', 'Mathematics': '122', 'Mechanical Engineering': '309', 'Microbiology': '219', 'Nuclear Engineering': '0', 'Physics': '34', 'Plant Science': '18', 'Statistics': '98', 'Sustainability Studies': '100', 'Systems Engineering': '67', 'Wildlife and Fisheries Management': '38', 'Zoology and Entomology': '6', 'Construction Engineering Technician': '0', 'Surveying Technician': '14'}",23,January 15,90,92,31017,Public College
Emory University,https://www.niche.com/colleges/emory-university/,34,26680,48914,57948,57948,9670,7346,1250,"{'<$30k': 7058, '$30-48k': 5506, '$49-75k': 12464, '$76-110k': 23933, '$110k+': 48971}",66000,"ATLANTA, GA",4:1,"{'Dance': '7', 'Drama and Theatre Production': '11', 'Film and Video Studies': '39', 'Accounting': '14', 'Business': '358', 'Management Sciences and Information Systems': '9', 'Education': '0', 'Physical Education Teaching and Coaching': '90', 'Nursing': '297', 'Radiation Therapy': '14', 'African American Studies': '12', 'African Studies': '2', 'Anthropology': '52', 'Arabic Language and Literature': '3', 'Archaeology': '6', 'Art History': '20', 'Asian Studies': '2', 'Chinese Language and Literature': '3', 'Communications': '4', 'Creative Writing': '51', 'Economics': '178', 'English': '36', 'European and Russian Studies': '20', 'Foreign Languages and Literatures': '7', 'French Language and Literature': '0', 'Global Studies': '6', 'History': '38', 'International Relations': '34', 'Japanese Language and Literature': '1', 'Latin American Studies': '2', 'Latin and Ancient Greek Studies': '9', 'Liberal Arts and Humanities': '15', 'Linguistics, Interpretation, and Translation': '19', 'Literature': '9', 'Music History and Literature': '28', 'Natural Sciences': '0', 'North American Studies': '2', 'Philosophy': '60', 'Physical Sciences': '6', 'Playwriting and Screenwriting': '9', 'Political Science and Government': '75', 'Psychology': '160', 'Public Policy Analysis': '2', 'Religious Studies': '9', 'Russian and Eastern European Languages and Literature': '0', 'Sociology': '50', 'Spanish Language and Literature': '12', ""Women's Studies"": '14', 'Astronomy and Astrophysics': '5', 'Biology': '205', 'Chemistry': '104', 'Computational and Applied Mathematics': '46', 'Computer Science': '82', 'Environmental Science': '41', 'Mathematics': '112', 'Neuroscience and Neurobiology': '167', 'Physics': '9', 'Statistics': '97'}",11,January 1,90,92,7022,Private
University of North Carolina at Chapel Hill,https://www.niche.com/colleges/university-of-north-carolina-at-chapel-hill/,35,10614,18066,7020,37360,7014,5240,1290,"{'<$30k': 3296, '$30-48k': 5441, '$49-75k': 11306, '$76-110k': 18991, '$110k+': 23695}",55600,"CHAPEL HILL, NC",9:1,"{'Drama and Theatre Production': '22', 'Music Performance': '14', 'Studio Arts': '30', 'Business': '332', 'Human Resources': '81', 'Early Childhood Education': '134', 'Elementary Education': '0', 'Middle School Education': '0', 'Physical Education Teaching and Coaching': '346', 'Dental Assisting': '0', 'Dental Hygiene': '0', 'Environmental Health': '19', 'Foods, Nutrition, and Wellness Studies': '38', 'Healthcare Management': '47', 'Health Professions': '0', 'Medical Laboratory Technician': '10', 'Nursing': '201', 'Radiation Therapy': '16', 'African American Studies': '11', 'Anthropology': '82', 'Archaeology': '8', 'Art History': '2', 'Asian Studies': '29', 'Behavioral Sciences': '490', 'Communications': '560', 'Economics': '449', 'English': '164', 'European and Russian Studies': '14', 'Foreign Languages and Literatures': '70', 'Geography': '17', 'Global Studies': '123', 'History': '143', 'Journalism': '0', 'Latin American Studies': '0', 'Latin and Ancient Greek Studies': '15', 'Liberal Arts and Humanities': '45', 'Linguistics, Interpretation, and Translation': '28', 'Music History and Literature': '26', 'North American Studies': '16', 'Peace Studies and Conflict Resolution': '102', 'Philosophy': '56', 'Physical Sciences': '0', 'Political Science and Government': '326', 'Public Policy Analysis': '166', 'Radio and Television': '1', 'Religious Studies': '20', 'Sociology': '106', ""Women's Studies"": '27', 'Bioengineering and Biomedical Engineering': '127', 'Bioinformatics': '29', 'Biology': '558', 'Chemistry': '139', 'Computational and Applied Mathematics': '211', 'Computer Science': '432', 'Environmental Science': '124', 'Geology and Earth Science': '14', 'Information Science': '68', 'Mathematics': '137', 'Neuroscience and Neurobiology': '152', 'Physics': '48', 'Statistics': '0'}",17,January 15,91,94,19939,Public College
Davidson College,https://www.niche.com/colleges/davidson-college/,36,26704,46496,57150,57150,7950,7800,1000,"{'<$30k': 7547, '$30-48k': 10011, '$49-75k': 9719, '$76-110k': 15671, '$110k+': 41495}",58900,"DAVIDSON, NC",9:1,"{'Arts': '11', 'Drama and Theatre Production': '2', 'Education': '0', 'African Studies': '4', 'Anthropology': '14', 'Arabic Language and Literature': '2', 'Asian Studies': '1', 'Chinese Language and Literature': '1', 'Communications': '14', 'Digital Communication and Media/Multimedia': '2', 'Economics': '75', 'English': '27', 'European and Russian Studies': '4', 'French Language and Literature': '4', 'History': '24', 'Latin American Studies': '3', 'Latin and Ancient Greek Studies': '3', 'Liberal Arts and Humanities': '21', 'Literature': '0', 'Minority and Ethnic Studies': '13', 'Music History and Literature': '5', 'Philosophy': '13', 'Political Science and Government': '64', 'Psychology': '59', 'Religious Studies': '3', 'Sociology': '12', 'Spanish Language and Literature': '15', 'Bioinformatics': '1', 'Biology': '60', 'Chemistry': '11', 'Computer Science': '34', 'Environmental Science': '16', 'Genetics': '1', 'Mathematics': '20', 'Neuroscience and Neurobiology': '4', 'Physics': '13'}",17,January 13,92,88,1927,Private
