name,url,rank,net cost,aid,in-state tuition,out-state tuition,housing,meals,books,median earnings,location,address,student-faculty ratio,acceptance rate,application deadline,graduation rate,employed 2 years post graduation,full-time undergraduates,part-time undergrads,undergrads over 25,pell-grant recipients,varsity athletes,public/private,coordinates,<$30k,$30-48k,$49-75k,$76-110k,$110k+,tuition,undergrads
Northeastern University,https://www.niche.com/colleges/northeastern-university/,41,35827,42331,78632,78632,10250,8180,1000,67400,"BOSTON, MA","360 HUNTINGTON AVE BOSTON, MA 02115",8:1,7,January 1,91,95,16278,24,1,18,3,Private,"[42.3399127, -71.0887742]",2227,2715,9324,19469,46187,78632,16302
University of California - Berkeley,https://www.niche.com/colleges/university-of-california-berkeley/,42,19257,21669,14395,44467,-1,-1,1139,64700,"BERKELEY, CA","200 CALIFORNIA HALL BERKELEY, CA 94720",14:1,11,November 30,94,88,30824,0,5,23,3,Public College,"[37.8813306, -122.2818168]",9236,10294,14213,22151,36217,29431,30824
Boston College,https://www.niche.com/colleges/boston-college/,43,30559,49992,69400,69400,10120,6000,1250,72500,"CHESTNUT HILL, MA","140 COMMONWEALTH AVE CHESTNUT HILL, MA 02467",9:1,17,January 2,91,94,9575,0,0,14,7,Private,"[42.3352838, -71.1696972]",10988,7260,15264,24041,55461,69400,9575
Wellesley College,https://www.niche.com/colleges/wellesley-college/,44,21362,61328,66880,66880,9944,9136,800,60800,"WELLESLEY, MA","106 CENTRAL ST WELLESLEY, MA 02481",7:1,14,January 8,90,94,2316,2,1,24,-1,Private,"[42.2937336, -71.3029852]",10197,7815,15240,29986,52206,66880,2318
University of Texas - Austin,https://www.niche.com/colleges/university-of-texas-austin/,45,17434,8321,11698,41070,-1,-1,724,58200,"AUSTIN, TX","110 INNER CAMPUS DR AUSTIN, TX 78705",13:1,31,December 1,88,93,38591,0,2,26,2,Public College,"[30.286027, -97.7393859]",12157,14135,17258,25597,28408,26384,38591
Middlebury College,https://www.niche.com/colleges/middlebury-college/,46,22181,56639,62000,62000,10020,7780,1000,58200,"MIDDLEBURY, VT","OLD CHAPEL MIDDLEBURY, VT 05753",8:1,13,January 3,94,87,2835,23,0,18,26,Private,"[44.009178501254354, -73.17629380213111]",8707,8658,12026,19641,41458,62000,2858
Tufts University,https://www.niche.com/colleges/tufts-university/,47,30479,51613,65222,65222,9142,7636,1000,75800,"MEDFORD, MA","MEDFORD, MA 02155",6:1,10,January 6,94,92,6635,180,1,12,13,Private,"[42.418231, -71.1064679]",9223,6812,14765,26144,57478,65222,6815
Wake Forest University,https://www.niche.com/colleges/wake-forest-university/,48,26197,54233,67642,67642,10448,8334,1500,63800,"WINSTON-SALEM, NC","1834 WAKE FOREST RD WINSTON-SALEM, NC 27109",2:1,21,January 1,90,94,5391,81,0,8,8,Private,"[36.1345765, -80.2790746]",12795,7203,10344,18728,57539,67642,5472
Amherst College,https://www.niche.com/colleges/amherst-college/,49,21367,58693,64100,64100,9050,7700,1000,65000,"AMHERST, MA","BOLTWOOD AVE AMHERST, MA 01002",7:1,7,January 6,92,90,1898,0,1,22,32,Private,"[42.37386675279498, -72.51891304088821]",7895,11119,16409,21178,50853,64100,1898
University of Illinois Urbana-Champaign,https://www.niche.com/colleges/university-of-illinois-urbana-champaign/,50,14544,16552,12474,30446,-1,-1,1200,61500,"CHAMPAIGN, IL","601 E JOHN ST CHAMPAIGN, IL 61820",14:1,45,January 5,85,95,33813,0,1,24,1,Public College,"[40.1088655, -88.230049]",3881,8562,11920,22833,28710,21460,33813
Florida State University,https://www.niche.com/colleges/florida-state-university/,51,14003,10169,5604,18749,7160,5148,1000,46400,"TALLAHASSEE, FL","222 S COPELAND ST TALLAHASSEE, FL 32306",17:1,25,March 1,85,93,29579,0,3,25,2,Public College,"[30.4407462, -84.2918543]",3055,4400,7320,9356,11392,12176,29579
University of Georgia,https://www.niche.com/colleges/university-of-georgia/,52,17180,11559,11180,30220,6294,4094,888,50500,"ATHENS, GA","ADMINISTRATION BUILDING ATHENS, GA 30602",13:1,43,January 1,88,92,28823,0,2,15,2,Public College,"[25.660879, 73.7751291]",9788,11918,15583,18305,18614,20700,28823
University of Miami,https://www.niche.com/colleges/university-of-miami/,53,36467,37322,60720,60720,9460,7450,1070,60100,"CORAL GABLES, FL","UNIVERSITY OF MIAMI CORAL GABLES, FL 33146",8:1,19,January 6,84,90,12570,0,0,15,4,Private,"[25.7187678, -80.2770028]",11008,16322,18858,29057,47404,60720,12570
Hamilton College,https://www.niche.com/colleges/hamilton-college/,54,24503,52497,65090,65090,8690,7220,800,60200,"CLINTON, NY","198 COLLEGE HILL RD CLINTON, NY 13323",9:1,12,January 6,92,91,2026,9,0,22,34,Private,"[43.0514567, -75.4021227]",5147,7516,18842,26120,46868,65090,2035
University of California - Irvine,https://www.niche.com/colleges/university-of-california-irvine/,55,14033,17411,17357,47271,-1,-1,1346,58400,"IRVINE, CA","260 ALDRICH HALL IRVINE, CA 92697",12:1,21,December 2,87,90,27932,730,3,36,1,Public College,"[33.6483807, -117.8412683]",7621,8139,11095,17614,29565,32314,28662
University of Wisconsin-Madison,https://www.niche.com/colleges/university-of-wisconsin-madison/,56,13376,11171,10796,39427,7167,4050,1150,56200,"MADISON, WI","500 LINCOLN DR MADISON, WI 53706",8:1,49,January 15,89,95,33838,0,3,15,2,Public College,"[43.0753986, -89.4043425]",3964,4687,9152,21842,25866,25111,33838
Lehigh University,https://www.niche.com/colleges/lehigh-university/,57,30453,44116,63930,63930,9350,6540,1000,81900,"BETHLEHEM, PA","27 MEMORIAL DR WEST BETHLEHEM, PA 18015",9:1,37,January 1,91,95,5624,0,0,19,12,Private,"[40.6068293, -75.3802215]",14841,14831,18967,28294,48774,63930,5624
Texas A&M University,https://www.niche.com/colleges/texas-a-and-m-university/,58,20375,12278,11550,39796,-1,-1,1000,58000,"COLLEGE STATION, TX","JKW ADMINISTRATION BUILDING STE 200 COLLEGE STATION, TX 77843",16:1,63,December 1,84,95,51150,0,2,19,1,Public College,"[30.6186841, -96.3364152]",11770,12623,16849,25318,29341,25673,51150
